condition,lambda,scale,alpha,test_ll_std,test_ll_part,test_acc_std,test_acc_part,delta_ll,delta_acc,n_obs
inference_affirm,0.05,1.0,0.5,-0.6921247169780023,-0.6390452146649597,0.7125,0.7125,0.053079502313042516,0.0,20
inference_affirm,0.05,1.0,0.75,-0.6921247169780023,-0.64714006334959,0.7125,0.6625,0.044984653628412294,-0.05,20
inference_affirm,0.05,1.0,1.0,-0.6921247169780023,-0.6543454073713912,0.7125,0.6375,0.03777930960661099,-0.075,20
inference_affirm,0.05,1.5,0.0,-0.6921247169780023,-0.6284584149985779,0.7125,0.675,0.06366630197942438,-0.0375,20
inference_affirm,0.05,1.5,0.02,-0.6921247169780023,-0.6285270393121692,0.7125,0.675,0.06359767766583306,-0.0375,20
inference_affirm,0.05,1.5,0.05,-0.6921247169780023,-0.6287708363206033,0.7125,0.6625,0.06335388065739896,-0.05,20
inference_affirm,0.05,1.5,0.1,-0.6921247169780023,-0.6295720518998119,0.7125,0.6625,0.06255266507819032,-0.05,20
inference_affirm,0.05,1.5,0.15,-0.6921247169780023,-0.6308667881949896,0.7125,0.675,0.061257928783012526,-0.0375,20
inference_affirm,0.05,1.5,0.2,-0.6921247169780023,-0.6326108081191506,0.7125,0.6875,0.05951390885885164,-0.025,20
inference_affirm,0.05,1.5,0.3,-0.6921247169780023,-0.6370923503820404,0.7125,0.7,0.05503236659596187,-0.0125,20
inference_affirm,0.05,1.5,0.5,-0.6921247169780023,-0.6473803847718547,0.7125,0.6625,0.04474433220614758,-0.05,20
inference_affirm,0.05,1.5,0.75,-0.6921247169780023,-0.6585595284930837,0.7125,0.625,0.03356518848491851,-0.0875,20
inference_affirm,0.05,1.5,1.0,-0.6921247169780023,-0.6667905510035748,0.7125,0.6125,0.02533416597442755,-0.1,20
inference_categories,0.05,0.5,0.0,-0.692313306009079,-0.641449060345452,0.6550675675675676,0.6733108108108109,0.050864245663627045,0.018243243243243244,148
inference_categories,0.05,0.5,0.02,-0.692313306009079,-0.6415358128979481,0.6550675675675676,0.6716216216216216,0.05077749311113079,0.016554054054054055,148
inference_categories,0.05,0.5,0.05,-0.692313306009079,-0.6416688319098381,0.6550675675675676,0.6699324324324325,0.05064447409924085,0.014864864864864866,148
inference_categories,0.05,0.5,0.1,-0.692313306009079,-0.6418977517806458,0.6550675675675676,0.675,0.05041555422843319,0.019932432432432434,148
inference_categories,0.05,0.5,0.15,-0.692313306009079,-0.642134883551206,0.6550675675675676,0.6716216216216216,0.05017842245787307,0.016554054054054055,148
inference_categories,0.05,0.5,0.2,-0.692313306009079,-0.6423793521900084,0.6550675675675676,0.6733108108108109,0.049933953819070516,0.018243243243243244,148
