lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,1.0,1.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.666688416768904
0.1,1.25,0.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.25,0.0,inference_affirm,partial,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,1.25,0.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,1.25,0.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5188982231853116
0.1,1.25,0.0,inference_categories,partial,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,1.25,0.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,1.25,0.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.5134647756718196
0.1,1.25,0.25,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.25,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.25,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.25,0.25,inference_affirm,partial,0.48732754655421373,0.4966666666666667,-0.5624754413070872,0.7198333333333333,0.24033043994377354,0.60053192012394
0.1,1.25,0.25,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.60053192012394
0.1,1.25,0.25,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.60053192012394
0.1,1.25,0.25,inference_categories,partial,0.5389457619974546,0.5033333333333333,-0.5497635720559308,0.7268333333333333,0.2728062143320606,0.6403286900522617
0.1,1.25,0.25,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6403286900522617
0.1,1.25,0.25,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6403286900522617
0.1,1.25,0.5,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.5,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.5,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.25,0.5,inference_affirm,partial,0.5121917462258444,0.5133333333333333,-0.5844999398230014,0.6918333333333333,0.2694292064462555,0.6283487334230534
0.1,1.25,0.5,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.6283487334230534
0.1,1.25,0.5,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.6283487334230534
0.1,1.25,0.5,inference_categories,partial,0.5845555963158025,0.5399999999999999,-0.5658219862621604,0.7144999999999999,0.3322777981579012,0.6916530541596891
0.1,1.25,0.5,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6916530541596891
0.1,1.25,0.5,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6916530541596891
0.1,1.25,0.75,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.75,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.25,0.75,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.25,0.75,inference_affirm,partial,0.5104082865922152,0.51,-0.6033828181995928,0.6753333333333333,0.2652041432961076,0.621251494266529
