lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,12,inference_affirm,projected,0.615,-0.6694870783906254,0.1519729475013476,0.4,-0.024013526249326178,0.48426514211392196
0.1,0.5,0.0,12,inference_affirm,partial,0.615,-0.6694870783906254,0.1519729475013476,0.4,-0.024013526249326178,0.48426514211392196
0.1,0.5,0.0,12,inference_categories,standard,0.53,-0.6917321741590938,0.29699856025977645,0.3,-0.05150071987011179,0.6500837398287158
0.1,0.5,0.0,12,inference_categories,projected,0.645,-0.6536008012712377,0.34476148661734285,0.4,0.07238074330867145,0.6500837398287158
0.1,0.5,0.0,12,inference_categories,partial,0.645,-0.6536008012712377,0.34476148661734285,0.4,0.07238074330867145,0.6500837398287158
0.1,0.5,0.0,13,choice_only,standard,0.67,-0.684576750562012,0.428013161330571,0.4,0.11400658066528552,0.4937791994785439
0.1,0.5,0.0,13,choice_only,projected,0.695,-0.5274720824468762,0.41805936688102285,0.4,0.10902968344051145,0.4937791994785439
0.1,0.5,0.0,13,choice_only,partial,0.695,-0.5274720824468762,0.41805936688102285,0.4,0.10902968344051145,0.4937791994785439
0.1,0.5,0.0,13,inference_affirm,standard,0.74,-0.6837902198526947,0.508472999797752,0.5,0.254236499898876,0.3573015123691204
0.1,0.5,0.0,13,inference_affirm,projected,0.765,-0.4862369704692218,0.4736347192243333,0.4,0.13681735961216668,0.3573015123691204
0.1,0.5,0.0,13,inference_affirm,partial,0.765,-0.4862369704692218,0.4736347192243333,0.4,0.13681735961216668,0.3573015123691204
0.1,0.5,0.0,13,inference_categories,standard,0.705,-0.6837766126703454,0.5059845511853649,0.4,0.15299227559268247,0.3288056613426582
0.1,0.5,0.0,13,inference_categories,projected,0.75,-0.5093565431616394,0.42054781549340986,0.3,0.010273907746704919,0.3288056613426582
0.1,0.5,0.0,13,inference_categories,partial,0.75,-0.5093565431616394,0.42054781549340986,0.3,0.010273907746704919,0.3288056613426582
0.1,0.5,0.0,14,choice_only,standard,0.71,-0.6837072985647975,0.42803526043203083,0.6,0.31401763021601536,0.53051468639403
0.1,0.5,0.0,14,choice_only,projected,0.69,-0.5752718197521896,0.47691951023067497,0.6,0.33845975511533744,0.53051468639403
0.1,0.5,0.0,14,choice_only,partial,0.69,-0.5752718197521896,0.47691951023067497,0.6,0.33845975511533744,0.53051468639403
0.1,0.5,0.0,14,inference_affirm,standard,0.7,-0.6777584879840964,0.22057527348168718,0.5,0.11028763674084359,0.5448388172290946
0.1,0.5,0.0,14,inference_affirm,projected,0.705,-0.5540284054632656,0.2925106329414806,0.5,0.1462553164707403,0.5448388172290946
0.1,0.5,0.0,14,inference_affirm,partial,0.705,-0.5540284054632656,0.2925106329414806,0.5,0.1462553164707403,0.5448388172290946
0.1,0.5,0.0,14,inference_categories,standard,0.74,-0.6791876729515743,0.3453692119920471,0.5,0.17268460599602356,0.5109276650577033
0.1,0.5,0.0,14,inference_categories,projected,0.75,-0.5425794305989168,0.36285626070050514,0.5,0.18142813035025257,0.5109276650577033
0.1,0.5,0.0,14,inference_categories,partial,0.75,-0.5425794305989168,0.36285626070050514,0.5,0.18142813035025257,0.5109276650577033
0.1,0.5,0.0,15,choice_only,standard,0.685,-0.6818578045747898,0.3715997937888838,0.2,-0.11420010310555809,0.5051324135636804
0.1,0.5,0.0,15,choice_only,projected,0.775,-0.5098890219401588,0.37981194392786466,0.2,-0.11009402803606766,0.5051324135636804
0.1,0.5,0.0,15,choice_only,partial,0.775,-0.5098890219401588,0.37981194392786466,0.2,-0.11009402803606766,0.5051324135636804
0.1,0.5,0.0,15,inference_affirm,standard,0.675,-0.6835571388191459,0.3603080873477852,0.3,-0.019845956326107417,0.4929431520965778
0.1,0.5,0.0,15,inference_affirm,projected,0.7,-0.5439864855972601,0.34901638090668646,0.3,-0.02549180954665678,0.4929431520965778
0.1,0.5,0.0,15,inference_affirm,partial,0.7,-0.5439864855972601,0.34901638090668646,0.3,-0.02549180954665678,0.4929431520965778
0.1,0.5,0.0,15,inference_categories,standard,0.695,-0.6833835966679874,0.4290848447617498,0.3,0.014542422380874886,0.4865302011304758
0.1,0.5,0.0,15,inference_categories,projected,0.755,-0.5575784609235879,0.40752795064692504,0.3,0.0037639753234625095,0.4865302011304758
0.1,0.5,0.0,15,inference_categories,partial,0.755,-0.5575784609235879,0.40752795064692504,0.3,0.0037639753234625095,0.4865302011304758
0.1,0.5,0.0,16,choice_only,standard,0.615,-0.6896514936701956,0.31556174260262987,0.4,0.05778087130131496,0.5928602496034637
0.1,0.5,0.0,16,choice_only,projected,0.595,-0.6843092609310439,0.2658826269536013,0.5,0.13294131347680066,0.5928602496034637
0.1,0.5,0.0,16,choice_only,partial,0.595,-0.6843092609310439,0.2658826269536013,0.5,0.13294131347680066,0.5928602496034637
0.1,0.5,0.0,16,inference_affirm,standard,0.695,-0.6847508616669309,0.34656151076762376,0.5,0.17328075538381188,0.53051468639403
0.1,0.5,0.0,16,inference_affirm,projected,0.73,-0.5362723472937,0.3954457605662679,0.5,0.19772288028313395,0.53051468639403
0.1,0.5,0.0,16,inference_affirm,partial,0.73,-0.5362723472937,0.3954457605662679,0.5,0.19772288028313395,0.53051468639403
0.1,0.5,0.0,16,inference_categories,standard,0.69,-0.6850693377583229,0.22534446858399393,0.5,0.11267223429199696,0.5541850069875903
0.1,0.5,0.0,16,inference_categories,projected,0.69,-0.5678294379600488,0.3123822792010921,0.5,0.15619113960054604,0.5541850069875903
0.1,0.5,0.0,16,inference_categories,partial,0.69,-0.5678294379600488,0.3123822792010921,0.5,0.15619113960054604,0.5541850069875903
0.1,0.5,0.0,17,choice_only,standard,0.625,-0.6861421779567695,0.1539379177351214,0.3,-0.12303104113243932,0.5048559330532377
0.1,0.5,0.0,17,choice_only,projected,0.67,-0.5912884936103115,0.16170765490787203,0.3,-0.119146172546064,0.5048559330532377
0.1,0.5,0.0,17,choice_only,partial,0.67,-0.5912884936103115,0.16170765490787203,0.3,-0.119146172546064,0.5048559330532377
0.1,0.5,0.0,17,inference_affirm,standard,0.68,-0.6867831096051185,0.3258433526822286,0.3,-0.03707832365888572,0.6527420867358443
0.1,0.5,0.0,17,inference_affirm,projected,0.645,-0.5835591408234773,0.3782890785982952,0.4,0.08914453929914762,0.6527420867358443
0.1,0.5,0.0,17,inference_affirm,partial,0.645,-0.5835591408234773,0.3782890785982952,0.4,0.08914453929914762,0.6527420867358443
0.1,0.5,0.0,17,inference_categories,standard,0.63,-0.6897575214985173,0.3889724672108273,0.4,0.09448623360541367,0.3933555830340934
0.1,0.5,0.0,17,inference_categories,projected,0.58,-0.664452272398566,0.41568093874215745,0.3,0.007840469371078712,0.3933555830340934
0.1,0.5,0.0,17,inference_categories,partial,0.58,-0.664452272398566,0.41568093874215745,0.3,0.007840469371078712,0.3933555830340934
0.1,0.5,0.0,18,choice_only,standard,0.66,-0.688884422447108,0.44128488726330184,0.6,0.3206424436316509,0.5020736952870936
