persona_id,condition,trial,accuracy,log_likelihood
1,standard,37,0.54,-0.6922203394968386
1,projected,37,0.7,-0.6926204868816578
1,slider,37,0.76,-0.6923051005618105
1,partial,37,0.68,-0.6922590180479071
1,standard,38,0.58,-0.6921383125222661
1,projected,38,0.72,-0.6926395088842753
1,slider,38,0.76,-0.6923105192864486
1,partial,38,0.68,-0.6922206625655011
1,standard,39,0.58,-0.6921420611116507
1,projected,39,0.72,-0.6925897765093135
1,slider,39,0.74,-0.6922566561569394
1,partial,39,0.7,-0.6921956705779995
1,standard,40,0.58,-0.69224956198255
1,projected,40,0.72,-0.6925991166460868
1,slider,40,0.76,-0.6922588739977934
1,partial,40,0.68,-0.6922504660094129
1,standard,41,0.58,-0.6922277809079712
1,projected,41,0.68,-0.69262654685641
1,slider,41,0.74,-0.6922791544598711
1,partial,41,0.68,-0.6922494225106846
1,standard,42,0.58,-0.6921739429510755
1,projected,42,0.7,-0.692562699622884
1,slider,42,0.74,-0.6922082218843479
1,partial,42,0.68,-0.6921870021296662
1,standard,43,0.58,-0.6922952973585619
1,projected,43,0.7,-0.6925668151303839
1,slider,43,0.76,-0.6922132761256455
1,partial,43,0.66,-0.6922502897013422
1,standard,44,0.58,-0.69210270655023
1,projected,44,0.7,-0.6924845056142527
1,slider,44,0.76,-0.6921295531881115
1,partial,44,0.66,-0.6921116690871715
1,standard,45,0.56,-0.6923466506393724
1,projected,45,0.7,-0.6925501269035855
1,slider,45,0.74,-0.6921054726584397
1,partial,45,0.66,-0.6922213961554883
1,standard,46,0.58,-0.6924081571357695
1,projected,46,0.68,-0.6925344356680214
1,slider,46,0.76,-0.6920885679797953
1,partial,46,0.66,-0.6922437365257447
1,standard,47,0.52,-0.6926143673352514
1,projected,47,0.68,-0.6925421088546416
1,slider,47,0.74,-0.6920942904363527
1,partial,47,0.64,-0.6923495764112498
1,standard,48,0.56,-0.6924821284594578
1,projected,48,0.68,-0.6925476381951511
1,slider,48,0.74,-0.6920943060715844
1,partial,48,0.64,-0.6922830255468219
1,standard,49,0.54,-0.6924721884629588
1,projected,49,0.68,-0.6925609415512579
1,slider,49,0.74,-0.6920974475955144
1,partial,49,0.64,-0.6922796616024547
1,standard,50,0.56,-0.692316333261937
1,projected,50,0.68,-0.6925151909729286
1,slider,50,0.74,-0.6920473668264786
1,partial,50,0.66,-0.6921764856375195
3,standard,0,0.38,-0.6931471803599452
3,projected,0,0.38,-0.6931471803599452
3,slider,0,0.38,-0.6931471803599452
3,partial,0,0.38,-0.6931471803599452
3,standard,1,0.5,-0.6932390297933338
3,projected,1,0.62,-0.6931398940893072
3,slider,1,0.68,-0.6931377570002911
3,partial,1,0.5,-0.6931883686807438
3,standard,2,0.56,-0.69320206477937
3,projected,2,0.66,-0.6931259219060628
3,slider,2,0.66,-0.6931222510278449
3,partial,2,0.6,-0.6931621330862829
3,standard,3,0.48,-0.693093483687211
3,projected,3,0.7,-0.6930807366038994
3,slider,3,0.7,-0.6930777351050171
3,partial,3,0.56,-0.6930855504697411
3,standard,4,0.5,-0.692947379869802
3,projected,4,0.66,-0.6930368240776922
3,slider,4,0.66,-0.6930326190453294
3,partial,4,0.56,-0.6929898652909325
3,standard,5,0.58,-0.6929060670003517
3,projected,5,0.64,-0.6930503416733917
3,slider,5,0.64,-0.6930321807479316
3,partial,5,0.58,-0.6929689645855642
3,standard,6,0.64,-0.6927355082373233
3,projected,6,0.72,-0.6929416749129849
3,slider,6,0.7,-0.6929290918691509
3,partial,6,0.66,-0.6928321177670368
3,standard,7,0.64,-0.6926718228542181
3,projected,7,0.72,-0.6929017571852407
3,slider,7,0.7,-0.6928831939698961
3,partial,7,0.68,-0.6927772867892742
3,standard,8,0.64,-0.6925159451060248
3,projected,8,0.72,-0.6929208374407765
3,slider,8,0.72,-0.6928706688193808
3,partial,8,0.68,-0.6926930078401131
3,standard,9,0.66,-0.6923953657506433
3,projected,9,0.7,-0.6928709619138453
3,slider,9,0.74,-0.6928169709851888
3,partial,9,0.72,-0.6926058458399751
3,standard,10,0.68,-0.692387028542351
3,projected,10,0.7,-0.6928581544351092
3,slider,10,0.74,-0.6927990590594203
3,partial,10,0.7,-0.6925926266986765
3,standard,11,0.7,-0.6922775359562862
3,projected,11,0.68,-0.6928766565064286
3,slider,11,0.74,-0.6928164449645626
3,partial,11,0.76,-0.692546614585869
3,standard,12,0.7,-0.6921875469722741
3,projected,12,0.66,-0.6928690768049744
3,slider,12,0.74,-0.6928063671016548
3,partial,12,0.72,-0.6924965988666222
3,standard,13,0.74,-0.6920700978196471
3,projected,13,0.68,-0.6928842987414133
3,slider,13,0.72,-0.6927687726015567
3,partial,13,0.74,-0.6924188390164197
3,standard,14,0.7,-0.6921469401748387
3,projected,14,0.68,-0.6929073799412693
3,slider,14,0.74,-0.6927669256434715
3,partial,14,0.72,-0.6924563123965634
3,standard,15,0.7,-0.6919694429047322
3,projected,15,0.72,-0.6928138747279364
3,slider,15,0.74,-0.6926673280838009
3,partial,15,0.74,-0.692317562384093
3,standard,16,0.74,-0.6916921231421526
3,projected,16,0.7,-0.6927125705728281
3,slider,16,0.76,-0.6925461883035411
3,partial,16,0.78,-0.6921183184899792
3,standard,17,0.66,-0.691776353412892
3,projected,17,0.7,-0.6927004904472684
3,slider,17,0.76,-0.6925246697458484
3,partial,17,0.74,-0.6921495572094807
3,standard,18,0.64,-0.6918985320496521
3,projected,18,0.66,-0.6927242677809763
3,slider,18,0.72,-0.6925269198218673
3,partial,18,0.72,-0.6922116822622733
3,standard,19,0.7,-0.6916843632836941
3,projected,19,0.7,-0.6926693424300336
3,slider,19,0.74,-0.6924668624681916
3,partial,19,0.74,-0.6920746374342212
3,standard,20,0.7,-0.6916731255653751
3,projected,20,0.7,-0.692666987439377
3,slider,20,0.72,-0.6924604472680351
3,partial,20,0.72,-0.6920658617045892
3,standard,21,0.66,-0.6915373638070643
3,projected,21,0.7,-0.6925790847078069
3,slider,21,0.72,-0.6923706854259517
3,partial,21,0.72,-0.6919529555033269
3,standard,22,0.7,-0.6916825336454805
3,projected,22,0.68,-0.6926348100445722
3,slider,22,0.76,-0.6924089963073825
3,partial,22,0.74,-0.6920446756916718
3,standard,23,0.7,-0.6915891921606687
3,projected,23,0.7,-0.692617731102481
3,slider,23,0.74,-0.6923921214569608
3,partial,23,0.76,-0.6919896103773334
3,standard,24,0.7,-0.6916645766193044
3,projected,24,0.68,-0.6926574181343688
3,slider,24,0.76,-0.6924202431845713
3,partial,24,0.74,-0.6920414051955964
3,standard,25,0.7,-0.6915157326108402
3,projected,25,0.68,-0.6926810095343495
3,slider,25,0.76,-0.6924309526736984
3,partial,25,0.74,-0.6919719479019367
3,standard,26,0.7,-0.6915451416704188
3,projected,26,0.7,-0.6926563849448779
3,slider,26,0.74,-0.6924066632874919
3,partial,26,0.74,-0.6919745125720554
3,standard,27,0.72,-0.6914184171688085
3,projected,27,0.74,-0.6926819885605713
3,slider,27,0.74,-0.6924269332185746
3,partial,27,0.76,-0.6919210149547845
3,standard,28,0.74,-0.6913150032487516
3,projected,28,0.74,-0.6927136255096576
3,slider,28,0.74,-0.6924191148299194
3,partial,28,0.78,-0.6918653805926218
3,standard,29,0.74,-0.6912569654986755
3,projected,29,0.74,-0.6927132979736592
3,slider,29,0.72,-0.6924177854880803
3,partial,29,0.8,-0.6918355330756596
3,standard,30,0.72,-0.6910048187767255
3,projected,30,0.74,-0.6926895508438325
3,slider,30,0.72,-0.6923905737446632
3,partial,30,0.82,-0.6916955617389743
3,standard,31,0.74,-0.690892211877654
3,projected,31,0.74,-0.6926825035464433
3,slider,31,0.7,-0.6923758257296386
3,partial,31,0.84,-0.6916318428702867
3,standard,32,0.76,-0.6907237861555285
3,projected,32,0.68,-0.6926282715419921
3,slider,32,0.76,-0.6923193460856869
3,partial,32,0.82,-0.6915191299443317
3,standard,33,0.74,-0.6907078777657317
3,projected,33,0.7,-0.6926047163987978
3,slider,33,0.76,-0.6922952259741867
3,partial,33,0.8,-0.6914989997140509
3,standard,34,0.74,-0.6906900559434896
3,projected,34,0.7,-0.6925772674585455
3,slider,34,0.74,-0.6922717391139311
3,partial,34,0.8,-0.6914783330492001
3,standard,35,0.72,-0.6907479373828974
3,projected,35,0.72,-0.6925952702244139
