lambda,gamma,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,test_acc_blend,test_ll_blend,delta_ll,delta_acc
0.001,0.0,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,1,4,0.75,-0.6925641341245401,0.75,-0.3901578561406475,0.75,-0.6925641341245401,0.0,0.0
0.001,0.0,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,2,4,0.75,-0.6928042560852457,0.75,-0.5754689035477399,0.75,-0.6928042560852457,0.0,0.0
0.001,0.0,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,3,4,1.0,-0.6921312027011314,0.75,-0.4768685730481026,1.0,-0.6921312027011314,0.0,0.0
0.001,0.0,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,4,4,0.75,-0.6925934243944709,0.5,-0.7211247227955893,0.75,-0.6925934243944709,0.0,0.0
0.001,0.0,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,0,4,1.0,-0.6915691978027982,1.0,-0.17195875066533783,1.0,-0.6915691978027982,0.0,0.0
0.001,0.0,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,1,4,0.5,-0.6922579912654148,0.75,-0.31549162596996544,0.5,-0.6922579912654148,0.0,0.0
0.001,0.0,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,2,4,1.0,-0.6920351292436367,0.75,-0.44091380189934104,1.0,-0.6920351292436367,0.0,0.0
0.001,0.0,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,3,4,1.0,-0.6918581079995139,0.75,-0.2989872219800811,1.0,-0.6918581079995139,0.0,0.0
0.001,0.0,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,4,4,0.25,-0.693113923592781,0.5,-1.0324463414957563,0.25,-0.693113923592781,0.0,0.0
0.001,0.0,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,0,4,0.5,-0.6934585289871318,0.5,-0.8238363777649317,0.5,-0.6934585289871318,0.0,0.0
0.001,0.0,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,1,4,0.75,-0.6924249223884483,0.75,-0.49169159790488937,0.75,-0.6924249223884483,0.0,0.0
0.001,0.0,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,2,4,0.75,-0.6921256744126439,0.5,-0.7463540948800206,0.75,-0.6921256744126439,0.0,0.0
0.001,0.0,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,3,4,0.75,-0.6923140677501498,1.0,-0.4148487860564762,0.75,-0.6923140677501498,0.0,0.0
0.001,0.0,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,4,4,0.75,-0.6924660984930848,0.75,-0.2756114440827951,0.75,-0.6924660984930848,0.0,0.0
0.001,0.0,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,0,4,0.5,-0.6925040934732599,0.5,-0.9526637888251877,0.5,-0.6925040934732599,0.0,0.0
0.001,0.0,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,1,4,0.25,-0.693942222109138,0.25,-1.2475827485719162,0.25,-0.693942222109138,0.0,0.0
0.001,0.0,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,2,4,0.75,-0.6912821629528922,0.5,-0.8366542654301192,0.75,-0.6912821629528922,0.0,0.0
0.001,0.0,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,3,4,0.5,-0.6924616239598635,0.5,-1.6609167269267007,0.5,-0.6924616239598635,0.0,0.0
0.001,0.0,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,4,4,1.0,-0.6911718043804796,1.0,-0.33441554264104495,1.0,-0.6911718043804796,0.0,0.0
0.001,0.0,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,0,4,0.75,-0.6927384253042169,0.25,-1.0105594709790346,0.75,-0.6927384253042169,0.0,0.0
0.001,0.0,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,1,4,0.5,-0.6927163458859349,0.75,-0.5979447071880435,0.5,-0.6927163458859349,0.0,0.0
0.001,0.0,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,2,4,0.5,-0.6932754640605925,0.5,-1.0547055801949428,0.5,-0.6932754640605925,0.0,0.0
0.001,0.0,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,3,4,0.75,-0.6926125292192916,0.75,-0.9276357845872116,0.75,-0.6926125292192916,0.0,0.0
0.001,0.0,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,4,4,0.75,-0.6926171705827615,1.0,-0.4095471480661646,0.75,-0.6926171705827615,0.0,0.0
0.001,0.0,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,0,4,1.0,-0.6916563926178843,0.75,-0.5503432794832999,1.0,-0.6916563926178843,0.0,0.0
0.001,0.0,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,1,4,0.75,-0.6913416045752215,1.0,-0.37404439086923535,0.75,-0.6913416045752215,0.0,0.0
0.001,0.0,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,2,4,0.75,-0.6917451406050665,0.75,-0.32443712448804246,0.75,-0.6917451406050665,0.0,0.0
0.001,0.0,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,3,4,0.75,-0.6915415809271314,1.0,-0.45258252914140595,0.75,-0.6915415809271314,0.0,0.0
0.001,0.0,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,4,4,0.25,-0.6954732529707177,0.5,-1.7564398098883325,0.25,-0.6954732529707177,0.0,0.0
0.001,0.0,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,0,5,1.0,-0.6901900358599771,1.0,-0.07807382368116793,1.0,-0.6901900358599771,0.0,0.0
0.001,0.0,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,1,5,0.6,-0.6912324351004475,1.0,-0.31343989643358217,0.6,-0.6912324351004475,0.0,0.0
0.001,0.0,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,2,5,0.8,-0.691829432035987,1.0,-0.39403498528425845,0.8,-0.691829432035987,0.0,0.0
0.001,0.0,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,3,5,0.6,-0.6903303706504949,0.8,-0.34476336935103613,0.6,-0.6903303706504949,0.0,0.0
