condition,lambda,gamma,alpha,test_ll_std,test_ll_part,test_ll_blend,test_acc_std,test_acc_part,test_acc_blend,delta_ll,delta_acc,n_obs
choice_only,0.025,0.5,0.5,-0.6926096445676121,-0.6449132594871446,-0.6617466706275245,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.03086297394008765,0.008870967741935482,62
choice_only,0.025,0.5,0.75,-0.6926096445676121,-0.6449132594871446,-0.6617466706275245,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.03086297394008765,0.008870967741935482,62
choice_only,0.025,0.5,1.0,-0.6926096445676121,-0.6449132594871446,-0.6617466706275245,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.03086297394008765,0.008870967741935482,62
choice_only,0.025,0.75,0.0,-0.6926096445676121,-0.6449132594871446,-0.6516994998751707,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.040910144692441426,0.008870967741935482,62
choice_only,0.025,0.75,0.25,-0.6926096445676121,-0.6449132594871446,-0.6516994998751707,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.040910144692441426,0.008870967741935482,62
choice_only,0.025,0.75,0.5,-0.6926096445676121,-0.6449132594871446,-0.6516994998751707,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.040910144692441426,0.008870967741935482,62
choice_only,0.025,0.75,0.75,-0.6926096445676121,-0.6449132594871446,-0.6516994998751707,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.040910144692441426,0.008870967741935482,62
choice_only,0.025,0.75,1.0,-0.6926096445676121,-0.6449132594871446,-0.6516994998751707,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.040910144692441426,0.008870967741935482,62
choice_only,0.025,1.0,0.0,-0.6926096445676121,-0.6449132594871446,-0.6449132594871446,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.04769638508046749,0.008870967741935482,62
choice_only,0.025,1.0,0.25,-0.6926096445676121,-0.6449132594871446,-0.6449132594871446,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.04769638508046749,0.008870967741935482,62
choice_only,0.025,1.0,0.5,-0.6926096445676121,-0.6449132594871446,-0.6449132594871446,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.04769638508046749,0.008870967741935482,62
choice_only,0.025,1.0,0.75,-0.6926096445676121,-0.6449132594871446,-0.6449132594871446,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.04769638508046749,0.008870967741935482,62
choice_only,0.025,1.0,1.0,-0.6926096445676121,-0.6449132594871446,-0.6449132594871446,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.04769638508046749,0.008870967741935482,62
choice_only,0.05,0.0,0.0,-0.6926096445676121,-0.6548652643993677,-0.6926096445676121,0.6177419354838709,0.6298387096774193,0.6177419354838709,0.0,0.0,62
choice_only,0.05,0.0,0.25,-0.6926096445676121,-0.6548652643993677,-0.6926096445676121,0.6177419354838709,0.6298387096774193,0.6177419354838709,0.0,0.0,62
choice_only,0.05,0.0,0.5,-0.6926096445676121,-0.6548652643993677,-0.6926096445676121,0.6177419354838709,0.6298387096774193,0.6177419354838709,0.0,0.0,62
choice_only,0.05,0.0,0.75,-0.6926096445676121,-0.6548652643993677,-0.6926096445676121,0.6177419354838709,0.6298387096774193,0.6177419354838709,0.0,0.0,62
choice_only,0.05,0.0,1.0,-0.6926096445676121,-0.6548652643993677,-0.6926096445676121,0.6177419354838709,0.6298387096774193,0.6177419354838709,0.0,0.0,62
choice_only,0.05,0.25,0.0,-0.6926096445676121,-0.6548652643993677,-0.680735963831851,0.6177419354838709,0.6298387096774193,0.6298387096774193,0.011873680735761064,0.012096774193548385,62
