lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,10,choice_only,standard,0.71,-0.6918248041215922,0.2215481122871557,0.3,-0.08922594385642216,0.5266254522375892
0.1,0.5,0.0,10,choice_only,projected,0.77,-0.625148449467148,0.2641891715558133,0.3,-0.06790541422209337,0.5266254522375892
0.1,0.5,0.0,10,choice_only,partial,0.77,-0.625148449467148,0.2641891715558133,0.3,-0.06790541422209337,0.5266254522375892
0.1,0.5,0.0,10,inference_affirm,standard,0.77,-0.6918624017405457,0.28087480344354887,0.3,-0.059562598278225576,0.5295131257596755
0.1,0.5,0.0,10,inference_affirm,projected,0.78,-0.6247449313899569,0.3281507604587997,0.3,-0.03592461977060016,0.5295131257596755
0.1,0.5,0.0,10,inference_affirm,partial,0.78,-0.6247449313899569,0.3281507604587997,0.3,-0.03592461977060016,0.5295131257596755
0.1,0.5,0.0,10,inference_categories,standard,0.72,-0.6923628715780633,0.4310454904331691,0.4,0.11552274521658457,0.5352823583192636
0.1,0.5,0.0,10,inference_categories,projected,0.8,-0.6418982224319539,0.4875912429416063,0.4,0.14379562147080316,0.5352823583192636
0.1,0.5,0.0,10,inference_categories,partial,0.8,-0.6418982224319539,0.4875912429416063,0.4,0.14379562147080316,0.5352823583192636
0.1,0.5,0.0,11,choice_only,standard,0.65,-0.6918817594111286,0.12612508647623563,0.4,-0.03693745676188216,0.49901464903749876
0.1,0.5,0.0,11,choice_only,projected,0.71,-0.6349164905631624,0.1245485228952827,0.4,-0.037725738552358626,0.49901464903749876
0.1,0.5,0.0,11,choice_only,partial,0.71,-0.6349164905631624,0.1245485228952827,0.4,-0.037725738552358626,0.49901464903749876
0.1,0.5,0.0,11,inference_affirm,standard,0.74,-0.6921056557641962,0.23806110072389475,0.4,0.019030550361947396,0.6261570984595392
0.1,0.5,0.0,11,inference_affirm,projected,0.76,-0.643340955539497,0.24436735504770654,0.5,0.12218367752385327,0.6261570984595392
0.1,0.5,0.0,11,inference_affirm,partial,0.76,-0.643340955539497,0.24436735504770654,0.5,0.12218367752385327,0.6261570984595392
0.1,0.5,0.0,11,inference_categories,standard,0.7,-0.6925914461913846,0.260132990857236,0.4,0.03006649542861803,0.49901464903749876
0.1,0.5,0.0,11,inference_categories,projected,0.69,-0.6704455016010058,0.2585564272762831,0.4,0.029278213638141565,0.49901464903749876
0.1,0.5,0.0,11,inference_categories,partial,0.69,-0.6704455016010058,0.2585564272762831,0.4,0.029278213638141565,0.49901464903749876
0.1,0.5,0.0,12,choice_only,standard,0.51,-0.6931397741602179,0.004938146164623145,0.3,-0.19753092691768845,0.4917704996334354
0.1,0.5,0.0,12,choice_only,projected,0.51,-0.693977244198734,-0.008230243607705242,0.3,-0.20411512180385263,0.4917704996334354
0.1,0.5,0.0,12,choice_only,partial,0.51,-0.693977244198734,-0.008230243607705242,0.3,-0.20411512180385263,0.4917704996334354
0.1,0.5,0.0,12,inference_affirm,standard,0.52,-0.6928085674806345,0.1053471181786271,0.1,-0.3473264409106865,0.46610232242569444
0.1,0.5,0.0,12,inference_affirm,projected,0.54,-0.6907357360813713,0.0510275103677725,0.1,-0.37448624481611376,0.46610232242569444
0.1,0.5,0.0,12,inference_affirm,partial,0.54,-0.6907357360813713,0.0510275103677725,0.1,-0.37448624481611376,0.46610232242569444
0.1,0.5,0.0,12,inference_categories,standard,0.57,-0.6930331054684388,0.2139863338003363,0.3,-0.09300683309983186,0.6444308551409991
0.1,0.5,0.0,12,inference_categories,projected,0.53,-0.6916594626725088,0.25184545439578043,0.4,0.02592272719789024,0.6444308551409991
0.1,0.5,0.0,12,inference_categories,partial,0.53,-0.6916594626725088,0.25184545439578043,0.4,0.02592272719789024,0.6444308551409991
0.1,0.5,0.0,13,choice_only,standard,0.74,-0.691133683351977,-0.01818233995066686,0.5,-0.00909116997533343,0.5714787690853874
0.1,0.5,0.0,13,choice_only,projected,0.78,-0.5934165860386486,0.09697247973688992,0.5,0.04848623986844496,0.5714787690853874
0.1,0.5,0.0,13,choice_only,partial,0.78,-0.5934165860386486,0.09697247973688992,0.5,0.04848623986844496,0.5714787690853874
0.1,0.5,0.0,13,inference_affirm,standard,0.74,-0.6910191313136231,-0.04394065488077825,0.5,-0.021970327440389126,0.5880889597012364
0.1,0.5,0.0,13,inference_affirm,projected,0.8,-0.5951612009178371,0.09848767473277885,0.5,0.049243837366389424,0.5880889597012364
0.1,0.5,0.0,13,inference_affirm,partial,0.8,-0.5951612009178371,0.09848767473277885,0.5,0.049243837366389424,0.5880889597012364
0.1,0.5,0.0,13,inference_categories,standard,0.64,-0.6908486449171957,-0.15909547456833506,0.4,-0.1795477372841675,0.5056817366575411
0.1,0.5,0.0,13,inference_categories,projected,0.71,-0.6029101996616848,-0.1500043045930016,0.4,-0.1750021522965008,0.5056817366575411
0.1,0.5,0.0,13,inference_categories,partial,0.71,-0.6029101996616848,-0.1500043045930016,0.4,-0.1750021522965008,0.5056817366575411
0.1,0.5,0.0,14,choice_only,standard,0.79,-0.6917710864236392,0.46838950838931337,0.3,0.034194754194656674,0.4901196511465523
0.1,0.5,0.0,14,choice_only,projected,0.83,-0.6151250843815312,0.4525788920723745,0.3,0.026289446036187242,0.4901196511465523
0.1,0.5,0.0,14,choice_only,partial,0.83,-0.6151250843815312,0.4525788920723745,0.3,0.026289446036187242,0.4901196511465523
0.1,0.5,0.0,14,inference_affirm,standard,0.47,-0.6933311573310975,0.3043543641010728,0.2,-0.1478228179494636,0.5222190362186838
0.1,0.5,0.0,14,inference_affirm,projected,0.55,-0.698956210119471,0.3399282508141852,0.2,-0.13003587459290739,0.5222190362186838
0.1,0.5,0.0,14,inference_affirm,partial,0.55,-0.698956210119471,0.3399282508141852,0.2,-0.13003587459290739,0.5222190362186838
0.1,0.5,0.0,14,inference_categories,standard,0.83,-0.6918313046085336,0.4644368543100787,0.3,0.032218427155039336,0.46546933208319785
0.1,0.5,0.0,14,inference_categories,projected,0.86,-0.6188445241122614,0.4090996972007927,0.3,0.004549848600396339,0.46546933208319785
0.1,0.5,0.0,14,inference_categories,partial,0.86,-0.6188445241122614,0.4090996972007927,0.3,0.004549848600396339,0.46546933208319785
