lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,1.25,0.75,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5370668436981133
0.1,1.25,0.75,inference_categories,partial,0.20675972230369913,0.4066666666666666,-0.6531421423875644,0.6923333333333334,0.01004652781851623,0.4886203677104595
0.1,1.25,0.75,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.4886203677104595
0.1,1.25,0.75,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.4886203677104595
0.1,1.25,1.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,1.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,1.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.25,1.0,inference_affirm,partial,0.22527308837778706,0.4033333333333333,-0.6599410380371026,0.6793333333333333,0.01596987752222687,0.5585392314708549
0.1,1.25,1.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5585392314708549
0.1,1.25,1.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5585392314708549
0.1,1.25,1.0,inference_categories,partial,0.1927404113830245,0.42,-0.6574411998084636,0.6836666666666668,0.01637020569151224,0.49990414329965716
0.1,1.25,1.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.49990414329965716
