participant_id,qualtrics_response_id,condition,domain,n_trials,loo_random,loo_proj_only,loo_proj_alpha,h1_augmented,h1_baseline,h2_signed_likert,h3_aug_minus_base
R_7CyxdtS8t7P28kz,R_7CyxdtS8t7P28kz,inference_affirm,movies_100,20,0.55,0.65,0.65,0.65,0.65,-2.0,4.0
R_3gTKGppsREF45VG,R_3gTKGppsREF45VG,inference_affirm,movies_100,20,0.65,0.5,0.45,0.45,0.5,1.0,5.0
R_6JLzwlZE8lUbngg,R_6JLzwlZE8lUbngg,inference_categories,movies_100,20,0.5,0.8,0.8,0.8,0.8,-1.0,4.0
R_5m8KDBf4U2S2SZ5,R_5m8KDBf4U2S2SZ5,choice_only,movies_100,20,0.6,0.9,,0.9,0.6,-1.0,0.0
R_3qPgvBdYQG5rBOm,R_3qPgvBdYQG5rBOm,inference_affirm,movies_100,20,0.75,0.45,0.5,0.5,0.45,2.0,0.0
R_3ISO9MKcIrFrOsd,R_3ISO9MKcIrFrOsd,inference_affirm,movies_100,20,0.3,0.8,0.75,0.75,0.8,1.0,-1.0
R_3qV84O1mJKWHDA3,R_3qV84O1mJKWHDA3,inference_affirm,movies_100,20,0.65,0.8,0.8,0.8,0.8,3.0,-5.0
R_19O64xygI5vLnyx,R_19O64xygI5vLnyx,choice_only,movies_100,20,0.75,0.85,,0.85,0.75,2.0,2.0
R_73vb3VpbzJZXjbB,R_73vb3VpbzJZXjbB,choice_only,movies_100,20,0.6,0.65,,0.65,0.6,2.0,1.0
R_3hyaOZj2I8i9IHJ,R_3hyaOZj2I8i9IHJ,inference_categories,movies_100,20,0.6,0.55,0.5,0.5,0.55,3.0,1.0
R_7O9vE6cYEXL0knN,R_7O9vE6cYEXL0knN,inference_categories,movies_100,20,0.65,0.85,0.8,0.8,0.85,-2.0,-1.0
R_6B4DMdXwNFfRxOv,R_6B4DMdXwNFfRxOv,inference_categories,movies_100,20,0.35,0.45,0.45,0.45,0.45,3.0,2.0
R_5fHQSZxPlrA5gG9,R_5fHQSZxPlrA5gG9,inference_categories,movies_100,20,0.75,0.7,0.75,0.75,0.7,2.0,-3.0
R_3f8lGkTp0mU0NQn,R_3f8lGkTp0mU0NQn,choice_only,movies_100,20,0.7,0.7,,0.7,0.7,1.0,5.0
R_3AOf8JAMHfR6Obv,R_3AOf8JAMHfR6Obv,inference_categories,movies_100,20,0.4,0.7,0.7,0.7,0.7,3.0,4.0
R_6k19YulmywBEq4u,R_6k19YulmywBEq4u,choice_only,movies_100,20,0.6,0.4,,0.4,0.6,-2.0,2.0
R_7OiS7t8ZiqYjhij,R_7OiS7t8ZiqYjhij,choice_only,movies_100,20,0.3,0.6,,0.6,0.3,-1.0,5.0
R_7k1544udrflaCqS,R_7k1544udrflaCqS,inference_categories,movies_100,20,0.3,0.4,0.4,0.4,0.4,3.0,-4.0
R_7FPuiDuXULdJund,R_7FPuiDuXULdJund,inference_categories,movies_100,20,0.75,0.45,0.45,0.45,0.45,-1.0,3.0
R_1lKAPcn7e11f3au,R_1lKAPcn7e11f3au,inference_categories,movies_100,20,0.2,0.4,0.4,0.4,0.4,1.0,0.0
R_7o7KFR7RHATYEjF,R_7o7KFR7RHATYEjF,inference_affirm,movies_100,20,0.5,0.5,0.45,0.45,0.5,2.0,-1.0
R_6GNPAlJpXIDf4aJ,R_6GNPAlJpXIDf4aJ,inference_categories,movies_100,20,0.25,0.55,0.6,0.6,0.55,1.0,5.0
R_7mnpAI3I46FCYhm,R_7mnpAI3I46FCYhm,inference_categories,movies_100,20,0.45,0.85,0.85,0.85,0.85,3.0,0.0
R_1j0Pqy25Zymzezg,R_1j0Pqy25Zymzezg,inference_categories,movies_100,20,0.4,0.8,0.9,0.9,0.8,-1.0,0.0
R_6OGxbkuUsk0XIzr,R_6OGxbkuUsk0XIzr,choice_only,movies_100,20,0.7,0.8,,0.8,0.7,2.0,3.0
R_3FwthCWclGULUDT,R_3FwthCWclGULUDT,inference_categories,movies_100,20,0.5,0.55,0.5,0.5,0.55,1.0,5.0
R_17x3sm0rhHenvIw,R_17x3sm0rhHenvIw,choice_only,movies_100,20,0.8,0.55,,0.55,0.8,-1.0,0.0
R_1CwkFyV1Rge2QWT,R_1CwkFyV1Rge2QWT,inference_categories,movies_100,20,0.35,0.65,0.85,0.85,0.65,-2.0,-2.0
R_6WLWSqJWkzcGsJH,R_6WLWSqJWkzcGsJH,inference_categories,movies_100,20,0.4,0.6,0.65,0.65,0.6,-2.0,-1.0
R_7hrwZbDAfYXOSym,R_7hrwZbDAfYXOSym,inference_affirm,movies_100,20,0.25,0.65,0.55,0.55,0.65,1.0,-2.0
R_5H7ynTbesmwZbWI,R_5H7ynTbesmwZbWI,inference_categories,movies_100,20,0.55,0.5,0.6,0.6,0.5,1.0,-1.0
R_1gRudO0dt0UxtNp,R_1gRudO0dt0UxtNp,choice_only,movies_100,20,0.7,0.7,,0.7,0.7,-2.0,3.0
R_7lort51TMiQRa1Y,R_7lort51TMiQRa1Y,choice_only,movies_100,20,0.55,0.5,,0.5,0.55,2.0,3.0
R_19g3p0C1uljN3Ix,R_19g3p0C1uljN3Ix,inference_affirm,movies_100,20,0.15,0.65,0.65,0.65,0.65,-2.0,-4.0
R_30iME3jISiSBLHl,R_30iME3jISiSBLHl,choice_only,movies_100,20,0.35,0.6,,0.6,0.35,2.0,4.0
R_7IoZGiuKuRMXnyQ,R_7IoZGiuKuRMXnyQ,inference_affirm,movies_100,20,0.5,0.25,0.35,0.35,0.25,1.0,5.0
R_1DwoMcHVjwxqwph,R_1DwoMcHVjwxqwph,choice_only,movies_100,20,0.65,0.7,,0.7,0.65,2.0,-1.0
R_6GfzoGYhZVrajlL,R_6GfzoGYhZVrajlL,inference_affirm,movies_100,20,0.6,0.6,0.55,0.55,0.6,3.0,0.0
R_5EMzeHjV81GUaxH,R_5EMzeHjV81GUaxH,inference_categories,movies_100,20,0.6,0.7,0.65,0.65,0.7,3.0,4.0
R_5VPMIG6jFFnJYwV,R_5VPMIG6jFFnJYwV,choice_only,movies_100,20,0.45,0.55,,0.55,0.45,-1.0,4.0
R_7aX2Me8HK5rTct3,R_7aX2Me8HK5rTct3,inference_affirm,movies_100,20,0.85,0.65,0.7,0.7,0.65,2.0,0.0
R_6RaCTfM8r7axDwx,R_6RaCTfM8r7axDwx,inference_categories,movies_100,20,0.55,0.75,0.7,0.7,0.75,2.0,0.0
R_5ociwQF4l9o4xDr,R_5ociwQF4l9o4xDr,choice_only,movies_100,20,0.5,0.55,,0.55,0.5,3.0,4.0
R_5PKM9RQMRLqLy2n,R_5PKM9RQMRLqLy2n,inference_categories,movies_100,20,0.5,0.55,0.65,0.65,0.55,1.0,1.0
R_5WZM3YhUZ8skqbv,R_5WZM3YhUZ8skqbv,inference_categories,movies_100,20,0.35,0.45,0.25,0.25,0.45,3.0,0.0
R_5dWHmVJcFOtNUla,R_5dWHmVJcFOtNUla,inference_categories,movies_100,20,0.55,0.4,0.6,0.6,0.4,2.0,2.0
R_5Eot5s09UMMgVww,R_5Eot5s09UMMgVww,inference_categories,movies_100,20,0.65,0.5,0.6,0.6,0.5,2.0,-4.0
R_3TIbsurCBWiK5UC,R_3TIbsurCBWiK5UC,inference_affirm,movies_100,20,0.2,0.5,0.6,0.6,0.5,-1.0,0.0
R_3PtGohDIFjomcff,R_3PtGohDIFjomcff,inference_categories,movies_100,20,0.55,0.6,0.5,0.5,0.6,2.0,3.0
R_3ykoRCFvKwK3Qn5,R_3ykoRCFvKwK3Qn5,inference_categories,movies_100,20,0.6,0.7,0.7,0.7,0.7,2.0,2.0
R_37Qlafxc7UZYRCk,R_37Qlafxc7UZYRCk,inference_categories,movies_100,20,0.6,0.6,0.7,0.7,0.6,3.0,3.0
R_6yfpc0yysY27sqk,R_6yfpc0yysY27sqk,inference_affirm,movies_100,20,0.65,0.35,0.4,0.4,0.35,-2.0,4.0
R_1Sxzspc1v8DFyiB,R_1Sxzspc1v8DFyiB,inference_affirm,movies_100,20,0.5,0.45,0.5,0.5,0.45,3.0,5.0
