persona_id,condition,fit_type,n_trials,test_acc,test_ll
1,inference_affirm,projected,5,0.6,-0.6773325604132355
1,inference_affirm,partial,5,0.5,-0.7078893298584876
1,inference_affirm,standard,6,0.68,-0.690843186581448
1,inference_affirm,projected,6,0.62,-0.6609537438555857
1,inference_affirm,partial,6,0.5,-0.7017551872554633
1,inference_affirm,standard,7,0.66,-0.6900166971580809
1,inference_affirm,projected,7,0.66,-0.6511280049400571
1,inference_affirm,partial,7,0.58,-0.718111232647629
1,inference_affirm,standard,8,0.7,-0.6890019425499109
1,inference_affirm,projected,8,0.7,-0.5855820726683723
1,inference_affirm,partial,8,0.52,-0.7123423030506559
1,inference_affirm,standard,9,0.68,-0.6887377366406864
1,inference_affirm,projected,9,0.7,-0.5789690945838314
1,inference_affirm,partial,9,0.56,-0.7052674773488196
1,inference_affirm,standard,10,0.68,-0.6887632138298584
1,inference_affirm,projected,10,0.7,-0.5880901740708857
1,inference_affirm,partial,10,0.54,-0.7112459042341864
1,inference_affirm,standard,11,0.64,-0.6882827423988274
1,inference_affirm,projected,11,0.64,-0.5696368936485849
1,inference_affirm,partial,11,0.62,-0.6826180833883414
1,inference_affirm,standard,12,0.7,-0.6867709314274747
1,inference_affirm,projected,12,0.72,-0.5275419471147201
1,inference_affirm,partial,12,0.64,-0.6452041128192257
1,inference_affirm,standard,13,0.7,-0.6866111277674166
1,inference_affirm,projected,13,0.74,-0.5281319816555168
1,inference_affirm,partial,13,0.64,-0.6621419550375373
1,inference_affirm,standard,14,0.7,-0.6865829054838026
1,inference_affirm,projected,14,0.68,-0.5354275149077824
1,inference_affirm,partial,14,0.64,-0.6386986439775673
1,inference_affirm,standard,15,0.72,-0.6864120793500906
1,inference_affirm,projected,15,0.72,-0.5157230651043233
1,inference_affirm,partial,15,0.6,-0.6236625165681948
1,inference_affirm,standard,16,0.72,-0.6854470163353659
1,inference_affirm,projected,16,0.74,-0.5322302997678408
1,inference_affirm,partial,16,0.6,-0.6419380087704118
1,inference_affirm,standard,17,0.74,-0.6844120688699938
1,inference_affirm,projected,17,0.76,-0.5046261833122211
1,inference_affirm,partial,17,0.6,-0.621757192100967
1,inference_affirm,standard,18,0.72,-0.6840652297338313
1,inference_affirm,projected,18,0.78,-0.4937901061767747
1,inference_affirm,partial,18,0.58,-0.6249465221785647
1,inference_affirm,standard,19,0.76,-0.6825855367018202
1,inference_affirm,projected,19,0.8,-0.48055281920896414
1,inference_affirm,partial,19,0.64,-0.5904579015846834
1,inference_affirm,standard,20,0.8,-0.681732118237727
1,inference_affirm,projected,20,0.76,-0.48009954460580284
1,inference_affirm,partial,20,0.66,-0.5903203374517307
1,inference_categories,standard,1,0.34,-0.6934761957344954
1,inference_categories,projected,1,0.52,-0.6719510637283064
1,inference_categories,partial,1,0.54,-0.670344332787927
1,inference_categories,standard,2,0.54,-0.6927623770545276
1,inference_categories,projected,2,0.58,-0.6663341992887817
1,inference_categories,partial,2,0.56,-0.6633581344845005
1,inference_categories,standard,3,0.58,-0.6920392883779298
1,inference_categories,projected,3,0.62,-0.6451791591546185
1,inference_categories,partial,3,0.62,-0.649128454019538
1,inference_categories,standard,4,0.58,-0.6919639719411728
1,inference_categories,projected,4,0.58,-0.6720321464561537
