user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
12,inference_categories,20,0.6975271757374675,0.6,-0.6915523057744516,0.06711000765613381,0.2,1.0,-0.26644499617193307,0.65,-0.5212463736940726,0.09693667772552661,0.2,1.0,-0.2515316611372367,0.75,-0.6018721225415065,0.20133002296840144,0.3,1.0,-0.09933498851579929
13,choice_only,20,0.8135317058136321,0.55,-0.6920599838564139,0.2335496832484569,0.1,1.0,-0.28322515837577156,0.75,-0.5965176920034528,0.6227991553292185,0.2,1.0,0.01139957766460925,0.75,-0.5965176920034528,0.6227991553292185,0.2,1.0,0.01139957766460925
13,inference_affirm,20,0.5961020119311136,0.6,-0.6907779802727695,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.5,-0.7153111190399184,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.5,-0.6967857809773643,0.4670993664969138,0.2,1.0,-0.06645031675154309
13,inference_categories,20,0.725741675490595,0.6,-0.6924106327162669,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.4,-0.754384067259932,0.4670993664969138,0.2,1.0,-0.06645031675154309,0.4,-0.7046998362493742,0.7006490497453708,0.2,1.0,0.050324524872685406
14,choice_only,20,0.5591898306369825,0.8,-0.6846024946255007,-0.27679962459076374,0.2,1.0,-0.43839981229538183,0.85,-0.3798351676065999,-0.18164975363768868,0.2,1.0,-0.3908248768188443,0.85,-0.3798351676065999,-0.18164975363768868,0.2,1.0,-0.3908248768188443
14,inference_affirm,20,0.6615869193312388,0.5,-0.6946483424384441,-0.3719494955438387,0.2,1.0,-0.48597474777191935,0.7,-0.5663531868636755,0.3373495424699933,0.2,1.0,-0.13132522876500333,0.7,-0.6525095026106125,-0.10379985922153641,0.2,1.0,-0.3518999296107682
14,inference_categories,20,0.8819599082807948,0.55,-0.6927012794410244,-0.18164975363768868,0.2,1.0,-0.3908248768188443,0.65,-0.7074364565982625,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.65,-0.6866401511487973,0.6227991553292185,0.2,1.0,0.01139957766460925
15,choice_only,20,0.8135317058136321,0.35,-0.6953260623872269,0.31139957766460924,0.1,1.0,-0.2443002111676954,0.65,-0.6727950917505174,0.7006490497453708,0.2,1.0,0.050324524872685406,0.65,-0.6727950917505174,0.7006490497453708,0.2,1.0,0.050324524872685406
15,inference_affirm,20,0.6669949314310306,0.4,-0.6964310881654818,0.31139957766460924,0.1,1.0,-0.2443002111676954,0.7,-0.5321414299262793,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.75,-0.6458437126570276,0.3892494720807615,0.2,1.0,-0.10537526395961924
15,inference_categories,20,0.6224593312018547,0.65,-0.6894156488686101,0.4670993664969138,0.1,1.0,-0.16645031675154312,0.8,-0.4313483302253707,0.2335496832484569,0.2,1.0,-0.18322515837577152,0.8,-0.6289119979577446,0.4670993664969138,0.2,1.0,-0.06645031675154309
