persona_id,condition,trial,accuracy,log_likelihood
3,standard,45,0.62,-0.6922765772297272
3,projected,45,0.68,-0.6927020932307283
3,slider,45,0.74,-0.6925532504121525
3,partial,45,0.76,-0.6924143693235529
3,standard,46,0.6,-0.6922661522147002
3,projected,46,0.66,-0.6926826270691815
3,slider,46,0.74,-0.6925238875296441
3,partial,46,0.74,-0.6923944841424876
3,standard,47,0.58,-0.6922841697817291
3,projected,47,0.74,-0.6926350838091138
3,slider,47,0.76,-0.6924766001712057
3,partial,47,0.74,-0.6923798570733601
3,standard,48,0.58,-0.6922494413588108
3,projected,48,0.66,-0.6926057699609435
3,slider,48,0.76,-0.6924528782314933
3,partial,48,0.72,-0.6923506415130259
3,standard,49,0.64,-0.692204075146565
3,projected,49,0.7,-0.6925801614960279
3,slider,49,0.74,-0.6924257044328757
3,partial,49,0.74,-0.6923143736143871
3,standard,50,0.64,-0.6921870137075038
3,projected,50,0.68,-0.6925862294688954
3,slider,50,0.72,-0.6924314114862373
3,partial,50,0.72,-0.6923086649249188
2,standard,0,0.32,-0.6931471803599452
2,projected,0,0.32,-0.6931471803599452
2,slider,0,0.32,-0.6931471803599452
2,partial,0,0.32,-0.6931471803599452
2,standard,1,0.4,-0.6931677215210067
2,projected,1,0.48,-0.6931335173891994
2,slider,1,0.46,-0.6931321449647446
2,partial,1,0.46,-0.6931499308511896
2,standard,2,0.42,-0.6931492658318077
2,projected,2,0.54,-0.6931351561112234
2,slider,2,0.5,-0.6931309757932205
2,partial,2,0.42,-0.6931401124231137
2,standard,3,0.48,-0.693140644026924
2,projected,3,0.54,-0.6931398426768609
2,slider,3,0.54,-0.6931394828008872
2,partial,3,0.48,-0.69314004237008
2,standard,4,0.44,-0.6930978081530779
2,projected,4,0.52,-0.6931460084550204
2,slider,4,0.54,-0.6931442177390893
2,partial,4,0.48,-0.6931209960874248
2,standard,5,0.48,-0.6930802682093011
2,projected,5,0.48,-0.6931571353921798
2,slider,5,0.48,-0.6931612817410072
2,partial,5,0.48,-0.693120733802574
2,standard,6,0.54,-0.693048387367423
2,projected,6,0.48,-0.6931628457826038
2,slider,6,0.48,-0.693168634649561
2,partial,6,0.54,-0.6931084711181964
2,standard,7,0.58,-0.6930012337122483
2,projected,7,0.52,-0.6931626258037015
2,slider,7,0.48,-0.6931511791993149
2,partial,7,0.56,-0.6930761463101693
2,standard,8,0.54,-0.692989962485582
2,projected,8,0.48,-0.6931485751531643
2,slider,8,0.48,-0.6931399179934528
2,partial,8,0.56,-0.6930648645177492
2,standard,9,0.58,-0.693004113268999
2,projected,9,0.48,-0.6931369548378524
2,slider,9,0.48,-0.6931282229663742
2,partial,9,0.58,-0.6930660860847118
2,standard,10,0.58,-0.6930196481072786
2,projected,10,0.44,-0.6931364581152575
2,slider,10,0.48,-0.6931199684218896
2,partial,10,0.54,-0.6930697190317352
2,standard,11,0.56,-0.6930111902481927
2,projected,11,0.46,-0.6931148192764617
2,slider,11,0.54,-0.693106690675101
2,partial,11,0.56,-0.6930588529148453
2,standard,12,0.56,-0.692976290797095
2,projected,12,0.54,-0.6930887991433221
2,slider,12,0.48,-0.6930832098720101
2,partial,12,0.54,-0.6930296576246215
2,standard,13,0.52,-0.6929757333153603
2,projected,13,0.48,-0.6930954109153178
2,slider,13,0.48,-0.6930896680222383
2,partial,13,0.46,-0.6930326101186217
2,standard,14,0.5,-0.6929844041406039
2,projected,14,0.48,-0.6930870564205175
2,slider,14,0.46,-0.6930839544201581
2,partial,14,0.48,-0.6930340759777205
2,standard,15,0.52,-0.6929802850495435
2,projected,15,0.46,-0.6930865069140464
2,slider,15,0.46,-0.6930847145117389
2,partial,15,0.52,-0.693032397430964
2,standard,16,0.48,-0.6929593370392412
2,projected,16,0.48,-0.693060116714892
2,slider,16,0.46,-0.6930581616232964
2,partial,16,0.44,-0.6930086429000281
2,standard,17,0.48,-0.6929644706808
2,projected,17,0.48,-0.6930712527817582
2,slider,17,0.46,-0.6930639247969788
2,partial,17,0.48,-0.6930140760485977
2,standard,18,0.44,-0.6929925031087448
2,projected,18,0.48,-0.6930653832056745
2,slider,18,0.48,-0.6930594811035984
2,partial,18,0.48,-0.693025860320076
2,standard,19,0.44,-0.6929905087576312
2,projected,19,0.48,-0.6930498407598789
2,slider,19,0.48,-0.6930453560267759
2,partial,19,0.44,-0.6930177869672144
2,standard,20,0.46,-0.693027755021512
2,projected,20,0.52,-0.6930317528768088
2,slider,20,0.54,-0.6930277667907112
2,partial,20,0.52,-0.6930275975486488
2,standard,21,0.5,-0.6929950287352986
2,projected,21,0.58,-0.6929974251667588
2,slider,21,0.58,-0.6929924810705534
2,partial,21,0.56,-0.6929935834527352
2,standard,22,0.46,-0.6930056436420381
2,projected,22,0.58,-0.6930099836154149
2,slider,22,0.56,-0.6930070406787039
2,partial,22,0.48,-0.6930061687130744
2,standard,23,0.54,-0.6929662298789786
2,projected,23,0.58,-0.6930181169052776
2,slider,23,0.54,-0.6930186211620145
2,partial,23,0.54,-0.6929922566016455
