user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial
11,inference_affirm,20,0.49216509686247467,0.635,-0.6870777993517275,0.3384290112846375,0.5,0.5,0.16921450564231874,0.65,-0.6404339941928909,0.35004177147577703,0.5,0.5,0.17502088573788852,0.74,-0.5698097472903484,0.5258921400844613,0.4,0.4,0.16294607004223066
11,inference_categories,20,0.6061914762699713,0.69,-0.6836963044941067,0.40561712381908765,0.5,0.5,0.20280856190954383,0.685,-0.5540671603863278,0.4155709182686358,0.5,0.5,0.2077854591343179,0.75,-0.507833110077509,0.578149560944589,0.5,0.6,0.2890747804722945
12,choice_only,20,0.41649663362162476,0.54,-0.6915584143331099,0.2205778780876702,0.4,0.5,0.010288939043835127,0.59,-0.7821083565941419,0.2857091413025335,0.3,0.4,-0.05714542934873326,0.59,-0.7821083565941419,0.2857091413025335,0.3,0.4,-0.05714542934873326
12,inference_affirm,20,0.7236084614881487,0.595,-0.6892606742830218,0.4906555162186365,0.3,0.3,0.045327758109318245,0.685,-0.5726938649659362,0.5132343541331225,0.3,0.3,0.05661717706656122,0.715,-0.5510426080067166,0.6756283037488482,0.4,0.4,0.23781415187442412
12,inference_categories,20,0.869756944092201,0.57,-0.6906318215927203,0.13720986117264528,0.3,0.5,-0.13139506941367737,0.605,-0.729530023883552,0.18410437068734678,0.3,0.5,-0.10794781465632662,0.635,-0.6371401103619962,0.49673443411869045,0.5,0.6,0.24836721705934522
13,choice_only,20,0.5295159699521854,0.68,-0.6842866062899914,0.37575574047044313,0.3,0.4,-0.012122129764778444,0.76,-0.498135566496413,0.4230362641057969,0.3,0.4,0.01151813205289845,0.76,-0.498135566496413,0.4230362641057969,0.3,0.4,0.01151813205289845
13,inference_affirm,20,0.5475511243281128,0.705,-0.6845616051629315,0.4520681645836457,0.3,0.3,0.02603408229182283,0.77,-0.5002771399309957,0.5540945576915143,0.3,0.3,0.07704727884575713,0.745,-0.5222144678213418,0.5283805886968482,0.3,0.3,0.0641902943484241
13,inference_categories,20,0.5155477896837894,0.655,-0.6851932702482535,0.41971833262261415,0.4,0.3,0.1098591663113071,0.705,-0.5549823678379275,0.37077884324566907,0.5,0.4,0.18538942162283453,0.77,-0.5133183896175353,0.4446028187464846,0.4,0.4,0.12230140937324233
14,choice_only,20,0.7306676990069123,0.795,-0.6796618013997524,0.40895848002280377,0.5,0.2,0.20447924001140189,0.825,-0.44660806834315536,0.4081636141724193,0.7,0.3,0.4040818070862096,0.825,-0.44660806834315536,0.4081636141724193,0.7,0.3,0.4040818070862096
14,inference_affirm,20,0.747480544891934,0.71,-0.6822320880291335,0.4896373638368262,0.7,0.3,0.44481868191841306,0.795,-0.4817513671766562,0.5977391194891126,0.9,0.5,0.6988695597445563,0.705,-0.5496919392060048,0.7237253567750492,0.8,0.5,0.6618626783875247
14,inference_categories,20,0.8943431236152218,0.76,-0.6818715212926483,0.45585556519548676,0.6,0.2,0.32792778259774336,0.775,-0.4861697469776648,0.5075218454704765,0.8,0.4,0.5537609227352382,0.76,-0.484639047577124,0.7102126373185135,0.9,0.5,0.7551063186592568
15,choice_only,20,0.4737196975849246,0.71,-0.6844002127076609,0.38597105653210034,0.3,0.5,-0.00701447173394984,0.755,-0.5140876750785348,0.3438837870698235,0.3,0.5,-0.028058106465088273,0.755,-0.5140876750785348,0.3438837870698235,0.3,0.5,-0.028058106465088273
15,inference_affirm,20,0.5083396914833457,0.76,-0.6834508188241347,0.4136870632511607,0.3,0.5,0.006843531625580351,0.755,-0.4907999136760401,0.39213016913633597,0.3,0.5,-0.003934915431832026,0.785,-0.4760027429641417,0.4270318072270046,0.3,0.6,0.0135159036135023
15,inference_categories,20,0.7997839408034544,0.62,-0.6873484107542959,0.4393500324354759,0.2,0.5,-0.08032498378226205,0.725,-0.562784760725838,0.5081267898494406,0.2,0.5,-0.04593660507527969,0.7,-0.5810080033213287,0.593327847541367,0.4,0.6,0.19666392377068354
