lambda,scale,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,delta_ll,delta_acc
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,4,4,0.25,-0.6954732529707177,0.25,-0.8567800799454347,-0.161306826974717,0.0
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,0,5,1.0,-0.6901900358599771,1.0,-0.43764948248514923,0.25254055337482784,0.0
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,1,5,0.6,-0.6912324351004475,0.8,-0.5458723216717029,0.14536011342874466,0.20000000000000007
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,2,5,0.8,-0.691829432035987,0.8,-0.5870634280082507,0.10476600402773628,0.0
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,inference_categories,dailydilemmas,3,5,0.6,-0.6903303706504949,0.6,-0.5004182276876754,0.18991214296281944,0.0
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,0,4,0.75,-0.6919509454770811,1.0,-0.5889913225391835,0.10295962293789762,0.25
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,1,4,0.5,-0.693423134032705,0.5,-0.7512140689817115,-0.057790934949006556,0.0
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,2,4,0.5,-0.692956189895669,0.75,-0.6601704998295751,0.03278569006609389,0.25
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,3,4,0.5,-0.6922843616630568,0.5,-0.6466404311372478,0.04564393052580906,0.0
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,inference_categories,dailydilemmas,4,4,1.0,-0.6918221546867992,1.0,-0.6070280957466158,0.08479405894018344,0.0
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,inference_categories,dailydilemmas,0,4,0.5,-0.6921819867098238,0.75,-0.6290582799001264,0.06312370680969737,0.25
