persona_id,condition,fit_type,n_trials,test_acc,test_ll
3,inference_affirm,standard,6,0.66,-0.6928795179357818
3,inference_affirm,projected,6,0.7,-0.6580077575314641
3,inference_affirm,partial,6,0.66,-0.6556822500514676
3,inference_affirm,standard,7,0.64,-0.6930299013269514
3,inference_affirm,projected,7,0.6,-0.6723966144995722
3,inference_affirm,partial,7,0.62,-0.6643757003645995
3,inference_affirm,standard,8,0.66,-0.6930255055430934
3,inference_affirm,projected,8,0.6,-0.6708202253009258
3,inference_affirm,partial,8,0.58,-0.6625376855911519
3,inference_affirm,standard,9,0.62,-0.6927731875802188
3,inference_affirm,projected,9,0.72,-0.6512750906006238
3,inference_affirm,partial,9,0.66,-0.6536393225418228
3,inference_affirm,standard,10,0.64,-0.6928713534203133
3,inference_affirm,projected,10,0.62,-0.6607673166131508
3,inference_affirm,partial,10,0.68,-0.6587379270291646
3,inference_affirm,standard,11,0.66,-0.6928418360100973
3,inference_affirm,projected,11,0.64,-0.6595200702607843
3,inference_affirm,partial,11,0.66,-0.6577777642460682
3,inference_affirm,standard,12,0.68,-0.6927629917516391
3,inference_affirm,projected,12,0.68,-0.6540061879027101
3,inference_affirm,partial,12,0.64,-0.6517906389911539
3,inference_affirm,standard,13,0.68,-0.6928356777457517
3,inference_affirm,projected,13,0.7,-0.6598885991876006
3,inference_affirm,partial,13,0.62,-0.660892089270411
3,inference_affirm,standard,14,0.64,-0.6926983395808464
3,inference_affirm,projected,14,0.62,-0.6516139675347854
3,inference_affirm,partial,14,0.64,-0.6531573037657745
3,inference_affirm,standard,15,0.66,-0.6926210977633664
3,inference_affirm,projected,15,0.64,-0.6465619841223628
3,inference_affirm,partial,15,0.62,-0.6486794968466363
3,inference_affirm,standard,16,0.64,-0.6925970981871914
3,inference_affirm,projected,16,0.64,-0.6434751162064073
3,inference_affirm,partial,16,0.62,-0.6461046268394698
3,inference_affirm,standard,17,0.66,-0.692486942130205
3,inference_affirm,projected,17,0.64,-0.6378544739512345
3,inference_affirm,partial,17,0.62,-0.6419190771935449
3,inference_affirm,standard,18,0.64,-0.6925113303997922
3,inference_affirm,projected,18,0.66,-0.6388112570868656
3,inference_affirm,partial,18,0.68,-0.6424987508322784
3,inference_affirm,standard,19,0.64,-0.6922148744857562
3,inference_affirm,projected,19,0.66,-0.63254535476983
3,inference_affirm,partial,19,0.62,-0.6342966749897171
3,inference_affirm,standard,20,0.62,-0.6920820234253117
3,inference_affirm,projected,20,0.66,-0.627671597940724
3,inference_affirm,partial,20,0.66,-0.6271990129987873
3,inference_categories,standard,1,0.6,-0.6930964645298289
3,inference_categories,projected,1,0.58,-0.692023605644674
3,inference_categories,partial,1,0.54,-0.6921483939268422
3,inference_categories,standard,2,0.7,-0.6929615429623225
